"RwID","SOATO_U","UKRNAME","RUSNAME","ENGNAME","SETTLTYPE","ZONE","NewFittedZone","REGION","DISTRICT","c25_gr1"
11154,"4623086401","Пісочна","Песочная","Pisochna","село",0,0,"Львiвська","Миколаївський",1.5
11155,"2624482301","Заланів","Заланов","Zalaniv","село",0,0,"Iвано-Франкiвська","Рогатинський",1.5
11156,"6124684701","Мислова","Мыслова","Myslova","село",0,0,"Тернопiльська","Пiдволочиський",2.1
11157,"6820985901","Поляни","Поляны","Poliany","село",0,0,"Хмельницька","Волочиський",2.1
11158,"4621283001","Добрівляни","Добровляны","Dobrivliany","село",0,0,"Львiвська","Дрогобицький",1.4
11159,"4625181701","Воля","Воля","Volia","село",0,0,"Львiвська","Старосамбiрський",3.1
11160,"7124988501","Худяки","Худяки","Khudiaky","село",0,0,"Черкаська","Черкаський",2.6
11161,"6320483504","Семиланне","Семиланное","Semylanne","село",0,0,"Харкiвська","Барвiнкiвський",3.5
11162,"","Павловка 1-а","","","",0,0,"","",1
11163,"6323182501","Мажарка","Мажарка","Mazharka","село",0,0,"Харкiвська","Кегичiвський",5.4
11164,"3221683601","Лобачів","Лобачов","Lobachiv","село",0,0,"Київська","Володарський",23.7
11165,"6823086601","Шрубків","Шрубков","Shrubkiv","село",0,0,"Хмельницька","Летичiвський",1.2
11166,"","Бiлий Колодязь","","","",0,0,"","",1
11167,"5323481004","Довга Пустош","Долгая Пустошь","Dovha Pustosh","село",0,0,"Полтавська","Новосанжарський",3.86
11168,"6322882203","Карнаухівка","Карнауховка","Karnaukhivka","село",0,0,"Харкiвська","Iзюмський",3.7
11169,"0923180701","Бахмутівка","Бахмутовка","Bakhmutivka","село",0,0,"Луганська","Новоайдарський",5.8
11170,"5320680404","Устимівка","Устимовка","Ustymivka","село",0,0,"Полтавська","Глобинський",3.3
11171,"2624486501","Фрага","Фрага","Fraha","село",0,0,"Iвано-Франкiвська","Рогатинський",1.5
11172,"4621288601","Уріж","Урож","Urizh","село",0,0,"Львiвська","Дрогобицький",2.5
11173,"2624484403","Руда","Руда","Ruda","село",0,0,"Iвано-Франкiвська","Рогатинський",1.5
11174,"6322282004","Орчик","Орчик","Orchyk","село",0,0,"Харкiвська","Зачепилiвський",6.6
11175,"7122555500","Стеблів","Стеблев","Stebliv","смт",4,0,"Черкаська","Корсунь-Шевченкiвський",51.9
11176,"5320680501","Бориси","Борисы","Borysy","село",0,0,"Полтавська","Глобинський",3.34
11177,"0923855300","Білогорівка","Белогоровка","Bilohorivka","смт",0,0,"Луганська","Попаснянський",6.4
11178,"6823083301","Кудинка","Кудинка","Kudynka","село",0,0,"Хмельницька","Летичiвський",6
11179,"6825055502","Мар'янівка","Марьяновка","Mar'yanivka","село",0,0,"Хмельницька","Хмельницький",5.8
11180,"5323486001","Соколова Балка","Соколова Балка","Sokolova Balka","село",0,0,"Полтавська","Новосанжарський",3.73
11181,"3224480501","Велика Березянка","Великая Березянка","Velyka Berezianka","село",4,0,"Київська","Таращанський",30.9
11182,"5320686403","Яроші","Яроши","Yaroshi","село",0,0,"Полтавська","Глобинський",3.3
11183,"7122586702","Листвина","Листвина","Lystvyna","село",0,0,"Черкаська","Корсунь-Шевченкiвський",41.8
11184,"0523482201","Збаржівка","Збаржевка","Zbarzhivka","село",0,0,"Вiнницька","Погребищенський",11
11185,"3224284001","Кривець","Кривец","Kryvets'","село",4,0,"Київська","Ставищенський",26.5
11186,"5321886601","Червоні Квіти","Червоные Квиты","Chervoni Kvity","село",0,0,"Полтавська","Кобеляцький",3.52
11187,"6324884501","Новоолександрівка","Новоалександровка","Novooleksandrivka","село",0,0,"Харкiвська","Сахновщинський",3.9
11188,"4623055400","Розділ","Роздол","Rozdil","смт",0,0,"Львiвська","Миколаївський",1.6
11189,"6825088401","Стуфчинці","Стуфчинцы","Stufchyntsi","село",0,0,"Хмельницька","Хмельницький",4.8
11190,"4621285701","Опори","Опоры","Opory","село",0,0,"Львiвська","Дрогобицький",1.6
11191,"4621255400","Меденичі","Меденичи","Medenychi","смт",0,0,"Львiвська","Дрогобицький",0.9
11192,"5323081901","Коновалівка","Коноваловка","Konovalivka","село",0,0,"Полтавська","Машiвський",3.78
11193,"5320685403","Ламане","Ламаное","Lamane","село",0,0,"Полтавська","Глобинський",3.2
11194,"4623085201","Криниця","Криница","Krynytsia","село",0,0,"Львiвська","Миколаївський",1.4
11195,"7122589403","Карашина","Карашина","Karashyna","село",0,0,"Черкаська","Корсунь-Шевченкiвський",68.2
11196,"0521681603","Дружелюбівка","Дружелюбовка","Druzheliubivka","село",0,0,"Вiнницька","Калинiвський",8.2
11197,"1424284603","Сидорове","Сидорово","Sydorove","село",0,0,"Донецька","Слов'янський",5
11198,"5322481001","Демидівка","Демидовка","Demydivka","село",0,0,"Полтавська","Кременчуцький",3.2
11199,"6124683601","Колодіївка","Колодиевка","Kolodiivka","село",0,0,"Тернопiльська","Пiдволочиський",1.3
11200,"","Блажiв","","","",0,0,"","",3.2
11201,"6820983701","Кривачинці","Кривачинцы","Kryvachyntsi","село",0,0,"Хмельницька","Волочиський",2
11202,"6123084620","Козівка","Козовка","Kozivka","село",0,0,"Тернопiльська","Козiвський",1.9
11203,"3220681103","Коряківка","Коряковка","Koriakivka","село",4,0,"Київська","Богуславський",51.2
11204,"6823087401","Ярославка","Ярославка","Yaroslavka","село",0,0,"Хмельницька","Летичiвський",3.6
11205,"0522487002","Іванопіль","Иванополь","Ivanopil'","село",0,0,"Вiнницька","Лiтинський",10.7
11206,"5321880709","Свердловське","Свердловское","Sverdlovs'ke","село",0,0,"Полтавська","Кобеляцький",3.31
11207,"7122582901","Заріччя","Заречье","Zarichchia","село",4,0,"Черкаська","Корсунь-Шевченкiвський",96.8
11208,"6124683001","Качанівка","Качановка","Kachanivka","село",0,0,"Тернопiльська","Пiдволочиський",1.8
11209,"7124988701","Хутори","Хуторы","Khutory","село",0,0,"Черкаська","Черкаський",10.1
11210,"6820955300","Війтівці","Войтовцы","Viitivtsi","смт",0,0,"Хмельницька","Волочиський",1.9
11211,"0942955300","Воронове","Вороново","Voronove","смт",0,0,"Луганська","м.Сєверодонецьк (мiськрада)",6.1
11212,"0924884502","Верхня Вільхова","Верхняя Ольховая","Verkhnia Vil'khova","село",0,0,"Луганська","Станично-Луганський",4.7
11213,"6825088701","Терешівці","Терешевцы","Tereshivtsi","село",0,0,"Хмельницька","Хмельницький",3.7
11214,"7122589401","Черепин","Черепин","Cherepyn","село",0,0,"Черкаська","Корсунь-Шевченкiвський",68.2
11215,"3224683601","Кашперівка","Кашперовка","Kashperivka","село",0,0,"Київська","Тетiївський",23.7
11216,"0923857500","Мирна Долина","Мирная Долина","Myrna Dolyna","смт",0,0,"Луганська","Попаснянський",6.3
11217,"6823086201","Чапля","Чапля","Chaplia","село",0,0,"Хмельницька","Летичiвський",3
11218,"3224482801","Круті Горби","Крутые Горбы","Kruti Horby","село",4,0,"Київська","Таращанський",36.3
11219,"6123087801","Теофіпілка","Теофипилка","Teofipilka","село",0,0,"Тернопiльська","Козiвський",2.1
11220,"1423056400","Ямпіль","Ямполь","Yampil'","смт",0,0,"Донецька","Краснолиманський",5.8
11221,"5323085601","Ряське","Рясское","Rias'ke","село",0,0,"Полтавська","Машiвський",4.45
11222,"6823084204","Новокостянтинів","Новоконстантинов","Novokostiantyniv","село",0,0,"Хмельницька","Летичiвський",6
11223,"5320685804","Жовтневе","Жовтневое","Zhovtneve","селище",0,0,"Полтавська","Глобинський",3.19
11224,"3224481301","Дубівка","Дубовка","Dubivka","село",0,0,"Київська","Таращанський",24.4
11225,"4625186601","Тершів","Тершев","Tershiv","село",0,0,"Львiвська","Старосамбiрський",3
11226,"6825080902","Жовтневе","Жовтневое","Zhovtneve","село",0,0,"Хмельницька","Хмельницький",2.9
11227,"4624280902","Воля-Блажівська","Воля-Блажевская","Volia-Blazhivs'ka","село",0,0,"Львiвська","Самбiрський",3.1
11228,"6322282002","Залінійне","Залинейное","Zaliniine","село",0,0,"Харкiвська","Зачепилiвський",6.6
